English,German,Box
aufgeben,0,0.0
verlassen,0,
Fähigkeit,0,
fähig,0,
um,0,
Oben,0,
im Ausland,0,
Abwesenheit,0,
abwesend,0,
absolut,0,
unbedingt,0,
absorbieren,0,
Missbrauch,0,
akademisch,0,
Akzent,0,
annehmen,0,
akzeptabel,0,
Zugang,0,
Unfall,0,
zufällig,0,
versehentlich,0,
Unterkunft,0,
begleiten,0,
entsprechend,0,
Konto,0,
Konto für,0,
genau,0,
genau,0,
beschuldigen,0,
erreichen,0,
Leistung,0,
Säure,0,
anerkennen,0,
ein Paar,0,
erwerben,0,
über,0,
Handlung,0,
Aktion,0,
aktiv,0,
aktiv,0,
Aktivität,0,
Schauspieler,0,
Darstellerin,0,
tatsächlich,0,
eigentlich,0,
Anzeige,0,
sich anpassen,0,
hinzufügen,0,
Zusatz,0,
zusätzlich,0,
hinzufügen Auf,0,
die Anschrift,0,
addieren,0,
addieren sich zu,0,
angemessen,0,
angemessen,0,
anpassen,0,
Bewunderung,0,
bewundern,0,
zugeben,0,
adoptieren,0,
Erwachsene,0,
Vorauszahlung,0,
fortschrittlich,0,
Vorteil,0,
Abenteuer,0,
Inserat,0,
werben,0,
Anzeige,0,
Werbung,0,
Rat,0,
beraten,0,
Affäre,0,
beeinträchtigen,0,
Zuneigung,0,
sich leisten,0,
besorgt,0,
nach,0,
Nachmittag,0,
danach,0,
wieder,0,
gegen,0,
das Alter,0,
alt,0,
Agentur,0,
Agent,0,
aggressiv,0,
vor,0,
zustimmen,0,
Zustimmung,0,
voraus,0,
Hilfe,0,
Ziel,0,
Luft,0,
Flugzeug,0,
Flughafen,0,
Alarm,0,
alarmiert,0,
alarmierend,0,
Alkohol,0,
alkoholisch,0,
am Leben,0,
alle,0,
alliiert,0,
ermöglichen,0,
erlauben für,0,
gut,0,
Verbündete,0,
fast,0,
allein,0,
eine lange,0,
neben,0,
laut,0,
Alphabet,0,
alphabetisch,0,
alphabetisch,0,
schon,0,
Auch,0,
ändern,0,
Alternative,0,
Alternative,0,
obwohl,0,
insgesamt,0,
stets,0,
bin.,0,
überraschen,0,
erstaunt,0,
toll,0,
Ehrgeiz,0,
Ambulanz,0,
unter,0,
Menge,0,
betragen,0,
amüsieren,0,
amüsiert,0,
lustig,0,
analysieren,0,
