English,German
abandon,aufgeben
abandoned,verlassen
ability,Fähigkeit
able,fähig
about,um
above,Oben
abroad,im Ausland
absence,Abwesenheit
absent,abwesend
absolute,absolut
absolutely,unbedingt
absorb,absorbieren
abuse,Missbrauch
academic,akademisch
accent,Akzent
accept,annehmen
acceptable,akzeptabel
access,Zugang
accident,Unfall
accidental,zufällig
accidentally,versehentlich
accommodation,Unterkunft
accompany,begleiten
according to,entsprechend
account,Konto
account for,Konto für
accurate,genau
accurately,genau
accuse,beschuldigen
achieve,erreichen
achievement,Leistung
acid,Säure
acknowledge,anerkennen
a couple,ein Paar
acquire,erwerben
across,über
act,Handlung
action,Aktion
active,aktiv
actively,aktiv
activity,Aktivität
actor,Schauspieler
actress,Darstellerin
actual,tatsächlich
actually,eigentlich
ad,Anzeige
adapt,sich anpassen
add,hinzufügen
addition,Zusatz
additional,zusätzlich
add on,hinzufügen Auf
address,die Anschrift
add up,addieren
add up to,addieren sich zu
adequate,angemessen
adequately,angemessen
adjust,anpassen
admiration,Bewunderung
admire,bewundern
admit,zugeben
adopt,adoptieren
adult,Erwachsene
advance,Vorauszahlung
advanced,fortschrittlich
advantage,Vorteil
adventure,Abenteuer
advert,Inserat
advertise,werben
advertisement,Anzeige
advertising,Werbung
advice,Rat
advise,beraten
affair,Affäre
affect,beeinträchtigen
affection,Zuneigung
afford,sich leisten
afraid,besorgt
after,nach
afternoon,Nachmittag
afterwards,danach
again,wieder
against,gegen
age,das Alter
aged,alt
agency,Agentur
agent,Agent
aggressive,aggressiv
ago,vor
agree,zustimmen
agreement,Zustimmung
ahead,voraus
aid,Hilfe
aim,Ziel
air,Luft
aircraft,Flugzeug
airport,Flughafen
alarm,Alarm
alarmed,alarmiert
alarming,alarmierend
alcohol,Alkohol
alcoholic,alkoholisch
alive,am Leben
all,alle
allied,alliiert
allow,ermöglichen
allow for,erlauben für
all right,gut
ally,Verbündete
almost,fast
alone,allein
along,eine lange
alongside,neben
aloud,laut
alphabet,Alphabet
alphabetical,alphabetisch
alphabetically,alphabetisch
already,schon
also,Auch
alter,ändern
alternative,Alternative
alternatively,Alternative
although,obwohl
altogether,insgesamt
always,stets
a.m.,bin.
amaze,überraschen
amazed,erstaunt
amazing,toll
ambition,Ehrgeiz
ambulance,Ambulanz
among,unter
amount,Menge
amount to,betragen
amuse,amüsieren
amused,amüsiert
amusing,lustig
analyse,analysieren
analysis,Analyse
ancient,alt
and,und
anger,Wut
angle,Winkel
angrily,wütend
angry,wütend
animal,Tier
ankle,Knöchel
anniversary,Jubiläum
announce,bekannt geben
annoy,Nerven
annoyed,verärgert
annoying,ärgerlich
annual,jährlich
annually,jährlich
another,Ein weiterer
answer,Antworten
anti-,Anti-
anticipate,antizipieren
anxiety,Angst
anxious,Ängstlich
anxiously,besorgt
any,irgendein
anybody,irgendjemand
anyone,jeder
anything,irgendetwas
anyway,ohnehin
anywhere,irgendwo
apart,ein Teil
apart from,"außer, abgesondert, ausgenommen"
apartment,Wohnung
apologize,entschuldigen
apparent,ersichtlich
apparently,offenbar
appeal,appellieren
appear,erscheinen
appearance,Aussehen
apple,Apfel
application,Anwendung
apply,anwenden
appoint,ernennen
appointment,geplanter Termin
appreciate,im Wert steigen
approach,sich nähern
appropriate,angemessen
approval,die Genehmigung
approve,genehmigen
approving,Genehmigung
approximate,ungefähr
approximately,etwa
April,April
area,Bereich
argue,streiten
argument,Streit
arise,entstehen
arm,Arm
armed,bewaffnet
arms,Waffen
army,Heer
around,um
arrange,arrangieren
arrangement,Anordnung
arrest,Festnahme
arrival,Ankunft
arrive,ankommen
arrive at,ankommen bei
arrow,Pfeil
art,Kunst
article,Artikel
artificial,künstlich
artificially,künstlich
artist,Künstler
artistic,künstlerisch
artistically,künstlerisch
as,wie
ashamed,beschämt
aside,beiseite
aside from,abgesehen von
ask,Fragen
asleep,schlafend
aspect,Aspekt
assist,helfen
assistance,Hilfe
assistant,Assistent
associate,assoziieren
associated,damit verbundenen
association,Verband
assume,davon ausgehen
assure,versichern
at,bei
atmosphere,Atmosphäre
atom,Atom
attach,anfügen
attached,angebracht
attack,Attacke
attempt,versuchen
attempted,versuchte
attend,teilnehmen
attend to,jemanden bedienen
attention,Aufmerksamkeit
attitude,Attitüde
attorney,Rechtsanwalt
attract,anlocken
attractive,attraktiv
audience,Publikum
August,August
aunt,Tante
author,Autor
authority,Behörde
automatic,automatisch
automatically,automatisch
autumn,Herbst
available,verfügbar
average,Durchschnitt
avoid,vermeiden
awake,Erwachen
award,vergeben
aware,bewusst
away,ein Weg
awful,furchtbar
awfully,furchtbar
awkward,unangenehm
awkwardly,unbeholfen
baby,Baby
back,der Rücken
background,Hintergrund
back up,sich zurückziehen
backward,rückwärts
backwards,rückwärts
bacteria,Bakterien
bad,Schlecht
badly,schlecht
bad-tempered,schlecht gelaunt
bag,Tasche
baggage,Gepäck
bake,backen
balance,Gleichgewicht
ball,Ball
ban,Verbot
band,Band
bandage,Binde
bank,Bank
bar,Bar
bargain,Schnäppchen
barrier,Barriere
base,Base
based,basierend
base on,Basis auf
basic,Basic
basically,Grundsätzlich
basis,Basis
bath,Bad
bathroom,Bad
battery,Batterie
battle,Schlacht
bay,Bucht
be,sein
beach,Strand
beak,Schnabel
bear,Bär
beard,Bart
beat,schlagen
beat up,verprügeln
beautiful,schön
beautifully,schön
beauty,Schönheit
because,Weil
because of,durch
become,werden
bed,Bett
bedroom,Schlafzimmer
beef,Rindfleisch
beer,Bier
before,Vor
begin,Start
beginning,Anfang
behalf,Namen
behave,sich verhalten
behaviour,Verhalten
behind,hinter
be left over,übrig bleiben
belief,Glauben
believe,glauben
believe in,glauben an
bell,Glocke
belong,gehören
belong to,gehören
below,unter
belt,Gürtel
bend,Biege
beneath,unter
benefit,Nutzen
bent,gebogen
beside,neben
best,Beste
bet,Wette
better,besser
betting,Wetten
between,zwischen
beyond,Darüber hinaus
bicycle,Fahrrad
bid,Gebot
big,groß
bike,Fahrrad
bill,Rechnung
billion,Milliarde
bin,Behälter
biology,Biologie
bird,Vogel
birth,Geburt
birthday,Geburtstag
biscuit,Keks
bit,bisschen
bite,beissen
bitter,bitter
bitterly,bitterlich
black,Schwarz
blade,Klinge
blame,Schuld
blank,leer
blind,blind
block,Block
blonde,blond
blood,Blut
blow,Schlag
blow out,Ausblasen
blow up,sprengen
blue,blau
board,Tafel
boat,Boot
body,Karosserie
boil,Kochen
bomb,Bombe
bone,Knochen
book,Buchen
boot,Stiefel
border,Grenze
bore,Bohrung
bored,gelangweilt
boring,langweilig
born,geboren
borrow,ausleihen
boss,Chef
both,beide
bother,sich kümmern
bottle,Flasche
bottom,Unterseite
bound,gebunden
bowl,Schüssel
box,Kasten
boy,Junge
boyfriend,Freund
brain,Gehirn
branch,Zweig
brand,Marke
brave,tapfer
bread,brot
break,Unterbrechung
break down,abbauen
breakfast,Frühstück
break in,einbrechen
break into,einbrechen in
break off,abbrechen
break out,ausbrechen
break up,beenden
breast,Brust
breath,Atem
breathe,atmen
breathe in,Einatmen
breathe out,Ausatmen
breathing,Atmung
breed,züchten
brick,Backstein
bridge,Brücke
brief,knapp
briefly,knapp
bright,hell
brightly,hell
brilliant,brillant
bring,bringen
bring back,zurückbringen
bring down,herunter bringen
bring forward,voran bringen
bring out,rausbringen
bring up,zur Sprache bringen
broad,breit
broadcast,Übertragung
broadly,breit
broken,gebrochen
brother,Bruder
brown,braun
brush,Bürste
bubble,Blase
budget,Budget
build,bauen
building,Gebäude
build up,aufbauen
bullet,Patrone
bunch,Bündel
burn,brennen
burn down,Abbrennen
burnt,verbrannt
burst,platzen
burst into,in
burst out,ausbrachen
bury,begraben
bus,Bus
bush,Busch
business,Geschäft
businessman,Geschäftsmann
busy,belebt
but,aber
butter,Butter
button,Taste
buy,Kaufen
buyer,Käufer
by,durch
bye,Wiedersehen
cabinet,Kabinett
cable,Kabel
cake,Kuchen
calculate,Berechnung
calculation,Berechnung
call,Anruf
call back,zurückrufen
called,genannt
call for,fordern
call off,absagen
call up,anrufen
calm,Ruhe
calm down,sich beruhigen
calmly,ruhig
camera,Kamera
camp,Lager
campaign,Kampagne
camping,Camping
can, kann
cancel,Abbrechen
cancer,Krebs
candidate,Kandidat
candy,Süssigkeit
cannot,kann nicht
cap,Deckel
capable,fähig
capacity,Kapazität
capital,Hauptstadt
captain,Kapitän
capture,Erfassung
car,Wagen
card,Karte
cardboard,Karton
care,Pflege
career,Werdegang
care for,pflegen
careful,Vorsichtig
carefully,sorgfältig
careless,leichtsinnig
carelessly,nachlässig
carpet,Teppich
carrot,Karotte
carry,tragen
carry on,fortfahren
carry out,durchführen
case,Fall
cash,Kasse
